"","points_5","points_4","points_3","points_2","points_1"
"3086","Yellow-eyed penguin","Antipodean Albatross","Banded Dotterel","Mōhua","Orange-fronted Parakeet"
"3087","New Zealand Robin","Stitchbird","Orange-fronted Parakeet","Black Robin","Rifleman"
"3088","Bittern","Kererū","White Heron","Fantail","Chatham Island Oystercatcher"
"3089","Yellow-eyed penguin","Little Spotted Kiwi","Shore Plover","Kākāpō","Hutton's Shearwater"
"3090","Rifleman","Yellow-eyed penguin","Fantail","Tūī","Southern Brown Kiwi"
"3091","Pūkeko","Fiordland Crested Penguin","Rockhopper Penguin",NA,NA
"3092","Fiordland Crested Penguin","Kererū","Rockhopper Penguin","Kōkako","Saddleback"
"3093","Yellow-eyed penguin","Little Spotted Kiwi","Kākāpō","Kea","Gibson's Albatross"
"3094","Bittern","Southern Brown Kiwi","Mōhua","Kākāpō","South Island Kōkako"
"3095","Kererū","Kea","Yellow-eyed penguin","Tūī","Fantail"
"3096","Kākā","Bittern","Morepork","Kingfisher","North Island Brown Kiwi"
"3097","Black-billed Gull","New Zealand Falcon","Kōkako","Black Petrel","Banded Dotterel"
"3098","Kākāpō",NA,NA,NA,NA
"3099","Banded Dotterel","Fairy Tern","Shore Plover","Kākāpō","Bittern"
"3100","Yellow-eyed penguin","Takahē","Kākā","Kākāpō","Morepork"
"3101","Rockhopper Penguin","Chatham Island Mollymawk","Tūī","Kingfisher","Royal Spoonbill"
"3102","Kākā","Blue Duck","Kea","Rock Wren","Kererū"
"3103","Banded Dotterel","Black Robin","Chatham Island Mollymawk","Orange-fronted Parakeet","Rifleman"
"3104","Kererū","Yellow-eyed penguin","New Zealand Falcon","South Island Kōkako","Little Spotted Kiwi"
"3105","Bittern","Banded Dotterel","Black Robin","Black Stilt","Orange-fronted Parakeet"
"3106","Kākā","Kākāpō","Fairy Tern","Blue Duck","Little Penguin"
"3107","Antipodean Albatross","South Polar Skua","Southern Brown Kiwi","Fiordland Crested Penguin","New Zealand Falcon"
"3108","Kākāpō","Rifleman","New Zealand Dotterel","Tūī","Morepork"
"3109","Yellow-eyed penguin","Southern Royal Albatross","Mōhua","Kākāpō","Blue Duck"
"3110","Fantail","Tūī","Saddleback","Morepork","South Island Kōkako"
"3111","Rifleman","Tomtit","Black Robin","Kingfisher","Royal Spoonbill"
"3112","North Island Brown Kiwi","Southern Brown Kiwi","Yellow-eyed penguin","Little Spotted Kiwi","Great Spotted Kiwi"
"3113","Yellow-eyed penguin","Gibson's Albatross","Orange-fronted Parakeet","Chatham Island Oystercatcher","New Zealand Falcon"
"3114","Antipodean Albatross","Fiordland Crested Penguin","New Zealand Falcon","Banded Dotterel","Yellow-eyed penguin"
"3115","Stitchbird","Mōhua","New Zealand Dotterel","Bar-tailed Godwit","Shore Plover"
"3116","Takahē","Fantail","Yellow-eyed penguin","Little Penguin","Kākāpō"
"3117","Black Robin","Antipodean Albatross","Banded Dotterel","Blue Duck","South Island Kōkako"
"3118","Saddleback","Takahē","Kōkako","Kākāpō","Kākā"
"3119","Antipodean Albatross","South Island Pied Oystercatcher","Southern Royal Albatross","Black-billed Gull","Blue Duck"
"3120","Mōhua","Fernbird","New Zealand Dotterel","Orange-fronted Parakeet","Kererū"
"3121","Banded Dotterel","Stitchbird","Orange-fronted Parakeet","Hutton's Shearwater","Kererū"
"3122","Yellow-eyed penguin","Rock Wren","Kea","Bar-tailed Godwit","Gibson's Albatross"
"3123","Kākā","Variable Oystercatcher","Morepork","Blue Duck","Fairy Tern"
"3124","Rock Wren","Saddleback","Wrybill","Black-billed Gull","Black Petrel"
"3125","Rifleman","Fairy Tern","South Island Kōkako","Little Penguin","Stitchbird"
"3126","Yellow-eyed penguin","Fairy Tern","Shore Plover","Kākā","Kererū"
"3127","Banded Dotterel","New Zealand Falcon","Kākā","Blue Duck","Yellow-eyed penguin"
"3128","Yellow-eyed penguin","Black Petrel","Fantail","Rockhopper Penguin","Scaup"
"3129","Hutton's Shearwater","Yellow-eyed penguin","New Zealand Dotterel","Shore Plover","The Otago Shag"
"3130","Great Spotted Kiwi","Orange-fronted Parakeet","Kākā","Kākāpō","Saddleback"
"3131","Kererū","Little Penguin","Orange-fronted Parakeet","Fernbird","Kea"
"3132","Spotless Crake","Harrier","Kea","Tūī","Kākāpō"
"3133","Banded Dotterel","Black Robin","Grey Warbler","Morepork","Yellow-eyed penguin"
"3134","Fiordland Crested Penguin","Barn Owl","Rockhopper Penguin","Yellow-eyed penguin","Southern Brown Kiwi"
"3135","Stitchbird","Banded Dotterel","Kākā","Silvereye","Royal Spoonbill"
"3136","Fantail","Black-billed Gull","Mōhua","Bar-tailed Godwit","Kea"
"3137","Yellow-eyed penguin","Antipodean Albatross","Southern Royal Albatross","Gibson's Albatross","Banded Dotterel"
"3138","Yellow-eyed penguin","Royal Spoonbill","Rockhopper Penguin","Little Penguin","Black-billed Gull"
"3139","Grey Warbler","Fantail","New Zealand Falcon","Kingfisher","Morepork"
"3140","Yellow-eyed penguin",NA,NA,NA,NA
"3141","New Zealand Robin","Fantail","Kererū","Tūī","Kingfisher"
"3142","Spotted Shag","New Zealand Dotterel","Banded Dotterel","Chatham Island Oystercatcher","Shore Plover"
"3143","Yellow-eyed penguin","Fairy Tern","Chatham Island Oystercatcher","Shore Plover","Orange-fronted Parakeet"
"3144","Yellow-eyed penguin","Little Spotted Kiwi","Kererū","Kea","New Zealand Dotterel"
"3145","New Zealand Falcon","Kākā","South Island Kōkako","Yellow-eyed penguin",NA
"3146","Antipodean Albatross","Kākāpō","New Zealand Dotterel","Yellow-eyed penguin","Chatham Island Mollymawk"
"3147","Hutton's Shearwater","Bittern","The Otago Shag","North Island Brown Kiwi","Great Spotted Kiwi"
"3148","Rock Wren","Black Robin","Grey Warbler","Yellow-eyed penguin","Kākāpō"
"3149","Yellow-eyed penguin","Tūī","Kākāpō","Stitchbird","Chatham Island Mollymawk"
"3150","Yellow-eyed penguin","Orange-fronted Parakeet","Mōhua","Gibson's Albatross","Hutton's Shearwater"
"3151","Kererū","Silvereye","Morepork","Tūī","Mōhua"
"3152","South Island Kōkako","Yellow-eyed penguin","Kākāpō","Kea","Tūī"
"3153","Stitchbird","Orange-fronted Parakeet","Fantail","Tomtit","Rifleman"
"3154","Fantail","Black Robin","New Zealand Falcon","Blue Duck","Tūī"
"3155","Kererū","Fiordland Crested Penguin","Kākā","Kākāpō","Little Penguin"
"3156","Welcome Swallow","Stitchbird","Tomtit","Kererū","Rifleman"
"3157","Barn Owl","Little Penguin","New Zealand Falcon","Rifleman","Mōhua"
"3158","Fairy Tern","Little Spotted Kiwi","Black Robin","Southern Brown Kiwi","Kākā"
"3159","South Island Kōkako","Banded Dotterel","Antipodean Albatross","Salvin's Mollymawk","Kākā"
"3160","Harrier","Banded Dotterel","Rifleman","Bar-tailed Godwit","Fairy Tern"
"3161","Yellow-eyed penguin",NA,NA,NA,NA
"3162","New Zealand Dabchick","Antipodean Albatross","Bittern","Tūī","Little Penguin"
"3163","Southern Brown Kiwi","Gibson's Albatross","The Otago Shag","Black-billed Gull","Yellow-eyed penguin"
"3164","Banded Dotterel","Bittern","Black Robin","Black-billed Gull","Blue Duck"
"3165","Southern Royal Albatross","Tūī","Banded Dotterel","Shore Plover","Kākāpō"
"3166","Yellow-eyed penguin","Black Robin","Rockhopper Penguin","Rifleman","Kōkako"
"3167","Yellow-eyed penguin","Northern Royal Albatross","Little Penguin","Rockhopper Penguin","Fiordland Crested Penguin"
"3168","Fantail","Blue Duck","Antipodean Albatross","Kererū","Orange-fronted Parakeet"
"3169","Barn Owl","Harrier","Fantail","Kea","Little Penguin"
"3170","Kingfisher","Harrier","Royal Spoonbill","Fairy Tern","Morepork"
"3171","Harrier","Fantail","Rockhopper Penguin","Pūkeko","Rifleman"
"3172","Kererū","Kākāpō","Southern Brown Kiwi","Black Robin","Little Spotted Kiwi"
"3173","Black Robin","Kererū","Kea","Rockhopper Penguin","Tūī"
"3174","Yellow-eyed penguin","Fairy Tern","Black Stilt","Black Robin","Banded Dotterel"
"3175","Saddleback","Takahē","Antipodean Albatross","Chatham Island Mollymawk","South Island Kōkako"
"3176","Banded Dotterel","Orange-fronted Parakeet","Rock Wren","Fairy Tern","Yellow-eyed penguin"
"3177","Pied Shag","Shining Cuckoo","Chatham Island Oystercatcher","Black-billed Gull","Little Penguin"
"3178","Orange-fronted Parakeet","Kingfisher","New Zealand Falcon","Kea","Yellow-eyed penguin"
"3179","Kākāpō","Kākā","Antipodean Albatross","Southern Brown Kiwi","Black-billed Gull"
"3180","Whenua Hou Diving Petrel","Banded Dotterel","South Island Kōkako","Shore Plover","The Otago Shag"
"3181","Fiordland Crested Penguin","Fairy Tern","Black Robin","Fantail","Kea"
"3182","Bittern","Antipodean Albatross","Black Petrel","Black Stilt","Black-billed Gull"
"3183","New Zealand Dotterel","Black Robin","Antipodean Albatross","Southern Brown Kiwi","Chatham Island Mollymawk"
"3184","Bittern","Kererū","Black-billed Gull","Blue Duck","Kōkako"
"3185","Yellow-eyed penguin",NA,NA,NA,NA
"3186","Bittern",NA,NA,NA,NA
"3187","Black Robin","Fairy Tern","Yellow-eyed penguin","Kākā","Little Spotted Kiwi"
"3188","Yellow-eyed penguin","Banded Dotterel","Fiordland Crested Penguin","New Zealand Dabchick","Antipodean Albatross"
"3189","Yellow-eyed penguin",NA,NA,NA,NA
"3190","New Zealand King Shag","Black-billed Gull","Gibson's Albatross","Kingfisher","Yellow-eyed penguin"
"3191","South Island Kōkako","Kōkako","Saddleback","Kākāpō","Black Robin"
"3192","Black Robin","Antipodean Albatross","Southern Brown Kiwi","Little Spotted Kiwi","Tūī"
"3193","Black Robin","Antipodean Albatross","Saddleback","South Island Kōkako","Banded Dotterel"
"3194","Kea","Takahē","Blue Duck","Black Robin","Kererū"
"3195","Antipodean Albatross","Spotted Shag","Black Petrel","Chatham Island Mollymawk","Yellow-eyed penguin"
"3196","Yellow-eyed penguin","Rock Wren","New Zealand Dotterel","Banded Dotterel","Saddleback"
"3197","Australasian Crested Grebe","Banded Dotterel","Bar-tailed Godwit","Black Robin","Brown Teal"
"3198","Kererū","Weka","Kākā","Banded Dotterel","Takahē"
"3199","Antipodean Albatross","Mōhua","Gibson's Albatross","Barn Owl","New Zealand Falcon"
"3200","New Zealand Dabchick","Kererū","Rockhopper Penguin","Royal Spoonbill","Morepork"
"3201","Saddleback","Kōkako","Bellbird","Yellow-eyed penguin","Black Robin"
"3202","Fantail","North Island Brown Kiwi","Pied Shag","Tūī","Little Penguin"
"3203","Yellow-eyed penguin","Little Penguin","Kākāpō","Blue Duck","Banded Dotterel"
"3204","Kea","Kākā","Northern Royal Albatross","Yellow-eyed penguin",NA
"3205","Antipodean Albatross","Australasian Gannet","Bar-tailed Godwit","Little Penguin","Bittern"
"3206","Kingfisher","Kākāpō","Little Penguin","Tūī","Rifleman"
"3207","Kererū","Yellow-eyed penguin","Little Penguin","Kea","Silvereye"
"3208","Yellow-eyed penguin","Blue Duck","Rock Wren","Tomtit","Black Robin"
"3209","Brown Teal",NA,NA,NA,NA
"3210","Kākā","Morepork","Rockhopper Penguin","Silvereye","Fantail"
"3211","Wrybill","Yellow-eyed penguin","Chatham Island Oystercatcher","Blue Duck","Kākā"
"3212","Variable Oystercatcher","Chatham Island Oystercatcher","Rock Wren","Kingfisher","Australasian Gannet"
"3213","Yellow-eyed penguin","Fiordland Crested Penguin","Rockhopper Penguin","Antipodean Albatross","Kākāpō"
"3214","New Zealand Dabchick","Tūī","Rockhopper Penguin","Kererū","Kākāpō"
"3215","Banded Dotterel","Black Robin","Mōhua","Yellow-eyed penguin","Rifleman"
"3216","Fantail","New Zealand Falcon","Tomtit","Tūī","Weka"
"3217","Yellow-eyed penguin","Rifleman","Fantail","Morepork","Kingfisher"
"3218","Morepork","Fairy Tern","Rockhopper Penguin","Rifleman","Barn Owl"
"3219","Yellow-eyed penguin","Morepork","Rockhopper Penguin","Kākā","New Zealand Falcon"
"3220","Kākāpō","Kākā","Black Robin","Southern Brown Kiwi","Mōhua"
"3221","Banded Dotterel","Shore Plover","Kākā","Kākāpō","New Zealand Dotterel"
"3222","Kākāpō","Fantail","Little Penguin","New Zealand Falcon","Rifleman"
"3223","Kākāpō","Blue Duck","Rifleman","Mōhua","Stitchbird"
"3224","Yellow-eyed penguin","Harrier","Banded Dotterel","Shining Cuckoo","Morepork"
"3225","Yellow-eyed penguin","Antipodean Albatross","Black Robin","Blue Duck","Chatham Island Oystercatcher"
"3226","Kererū","Bellbird","Harrier","Shining Cuckoo","Kingfisher"
"3227","Australasian Gannet","Fairy Tern","Pied Shag","Stitchbird","Northern Royal Albatross"
"3228","Morepork","Kākāpō","Kea","Kingfisher","Tomtit"
"3229","Kākā","Kōkako","Little Spotted Kiwi","Yellow-eyed penguin","Mōhua"
"3230","Saddleback","Orange-fronted Parakeet","New Zealand Dotterel","Whenua Hou Diving Petrel","Rock Wren"
"3231","Kingfisher","Welcome Swallow","White Heron","Orange-fronted Parakeet","Silvereye"
"3232","Black-billed Gull","Blue Duck","Chatham Island Mollymawk","Little Spotted Kiwi","South Island Kōkako"
"3233","Pūkeko","Black Robin","Blue Duck","Tūī","New Zealand Robin"
"3234","Antipodean Albatross","Banded Dotterel","Barn Owl","Little Penguin","Little Spotted Kiwi"
"3235","Kākā","Kea","Kākāpō","Yellow-eyed penguin","Little Spotted Kiwi"
"3236","Fiordland Crested Penguin","Gibson's Albatross","Tūī","Yellow-eyed penguin","Morepork"
"3237","Kea","Kererū","Tūī","Gibson's Albatross","Barn Owl"
"3238","Yellow-eyed penguin",NA,NA,NA,NA
"3239","Kōkako","Southern Royal Albatross","Orange-fronted Parakeet","Rockhopper Penguin","Mōhua"
"3240","Kākāpō",NA,NA,NA,NA
"3241","Kākā","Rockhopper Penguin","Kākāpō","Kōkako","Little Spotted Kiwi"
"3242","New Zealand Dotterel","Stitchbird","Chatham Island Mollymawk","Kōkako","Harrier"
"3243","Kākāpō","Kākā","Kōkako","Tūī","Little Spotted Kiwi"
"3244","Kākāpō",NA,NA,NA,NA
"3245","Yellow-eyed penguin","Blue Duck","Rock Wren","Tomtit","Black Robin"
"3246","Southern Royal Albatross","New Zealand Falcon","Kākā","Kākāpō","Southern Brown Kiwi"
"3247","Yellow-eyed penguin","Antipodean Albatross","Black Stilt","Black Robin","Blue Duck"
"3248","Yellow-eyed penguin",NA,NA,NA,NA
"3249","New Zealand Falcon","Kākāpō","Orange-fronted Parakeet","Tūī","Yellow-eyed penguin"
"3250","Tomtit","Saddleback","Blue Duck","Black Robin","Chatham Island Oystercatcher"
"3251","Antipodean Albatross","Banded Dotterel","Black Robin","Kererū","Kākāpō"
"3252","Arctic Skua","Banded Dotterel","Barn Owl","Black Robin","Little Spotted Kiwi"
"3253","Black Stilt","Fantail","Fiordland Crested Penguin","Little Penguin","Yellow-eyed penguin"
"3254","Southern Brown Kiwi","Kākā","Little Spotted Kiwi","Kākāpō","Fiordland Crested Penguin"
"3255","New Zealand Falcon","Little Penguin","Kākāpō","Little Spotted Kiwi","Morepork"
"3256","Kōkako","Antipodean Albatross","New Zealand Dotterel","Campbell Black-Browed Albatross","Northern Royal Albatross"
"3257","Antipodean Albatross","Banded Dotterel","Black Robin","Hutton's Shearwater","Mōhua"
"3258","Kākāpō","Kōkako","Yellow-eyed penguin","Little Spotted Kiwi","Little Penguin"
"3259","Stitchbird","Bellbird","Kākā","Banded Dotterel","Saddleback"
"3260","Kākā","Kākāpō","Little Penguin","Takahē","Tūī"
"3261","Kererū","Kingfisher","Kākā","Chatham Island Oystercatcher","Black Stilt"
"3262","Kākāpō",NA,NA,NA,NA
"3263","Black-billed Gull","Kōkako","Pūkeko","Kea","Black Stilt"
"3264","Bar-tailed Godwit","Saddleback","Chatham Island Oystercatcher","Morepork","South Island Kōkako"
"3265","Fairy Tern","Little Spotted Kiwi","Whenua Hou Diving Petrel","Kākā","Black-fronted Tern"
"3266","Rifleman","Harrier","New Zealand Dabchick","Bittern","Kingfisher"
"3267","Scaup","Black Robin","Bar-tailed Godwit","Antipodean Albatross","New Zealand Falcon"
"3268","Wrybill",NA,NA,NA,NA
"3269","Yellow-eyed penguin","Southern Royal Albatross","Southern Brown Kiwi","Kererū","Kākāpō"
"3270","Fantail","Mōhua","Australasian Gannet","Kākā","Morepork"
"3271","Kākā","Black Stilt","Orange-fronted Parakeet","Variable Oystercatcher","Black Robin"
"3272","Yellow-eyed penguin","Little Spotted Kiwi","Tūī","Fantail","Pūkeko"
"3273","Blue Duck","Kākāpō","Saddleback","Shore Plover","Kākā"
"3274","North Island Brown Kiwi","Southern Brown Kiwi","Fantail","Grey Warbler","Silvereye"
"3275","Yellow-eyed penguin","Barn Owl","Little Penguin","Fiordland Crested Penguin","Rockhopper Penguin"
"3276","Yellow-eyed penguin","South Island Kōkako","Royal Spoonbill","Black-billed Gull","Banded Dotterel"
"3277","Kererū","Rockhopper Penguin","Fantail","Morepork","Tūī"
"3278","Kea","Kākā","Kākāpō","Rock Wren","Rifleman"
"3279","Blue Duck",NA,NA,NA,NA
"3280","Yellow-eyed penguin","Chatham Island Mollymawk","Kākāpō","Blue Duck","Hutton's Shearwater"
"3281","Mōhua","Bar-tailed Godwit","Stitchbird","Tūī","Saddleback"
"3282","Yellow-eyed penguin","Blue Duck","Black Stilt","Black Robin","Banded Dotterel"
"3283","Kākāpō","Yellow-eyed penguin","Blue Duck","Banded Dotterel","Mōhua"
"3284","Yellow-eyed penguin","Kākāpō","Kōkako","Southern Royal Albatross","Stitchbird"
"3285","Black Robin","Kingfisher","Kōkako","Blue Duck","Rock Wren"
"3286","Yellow-eyed penguin","The Otago Shag","Little Spotted Kiwi","Southern Brown Kiwi","Whenua Hou Diving Petrel"
"3287","Black Petrel","Tomtit","Tūī","Saddleback","Orange-fronted Parakeet"
"3288","Hutton's Shearwater","Banded Dotterel","Shore Plover","Bittern","Black Stilt"
"3289","Fernbird","Grey Warbler","Kingfisher","Morepork","Rifleman"
"3290","Rock Wren","Silvereye","Fantail","Little Penguin","South Island Kōkako"
"3291","Yellow-eyed penguin","Black Robin","Stitchbird","Kererū","Fantail"
"3292","North Island Brown Kiwi",NA,NA,NA,NA
"3293","Yellow-eyed penguin","Buller's Mollymawk","Little Penguin","Westland Petrel","Black Petrel"
"3294","Kingfisher","Bittern","Banded Dotterel","Barn Owl","Black Robin"
"3295","Yellow-eyed penguin","Banded Dotterel","Black Robin","Gibson's Albatross","New Zealand Dotterel"
"3296","New Zealand Falcon","South Island Pied Oystercatcher","Kākā","Weka","Fantail"
"3297","Pūkeko","Little Penguin","Yellow-eyed penguin","Rockhopper Penguin","Tūī"
"3298","Yellow-eyed penguin","South Island Kōkako","Morepork","Fairy Tern","Shore Plover"
"3299","Yellow-eyed penguin","Chatham Island Oystercatcher","Kākā","Kākāpō","Whenua Hou Diving Petrel"
"3300","Bittern","Morepork","Tomtit","Kererū","Shining Cuckoo"
"3301","Pūkeko","Takahē","Rockhopper Penguin","Kākāpō","Orange-fronted Parakeet"
