"","points_5","points_4","points_3","points_2","points_1"
"8947","Southern Brown Kiwi","New Zealand Falcon","Kea","Fantail","Southern Royal Albatross"
"8948","Banded Dotterel","Kākā","Black-billed Gull","Saddleback","Bar-tailed Godwit"
"8949","Black Robin","Black Stilt","Gibson's Albatross","Orange-fronted Parakeet","South Island Kōkako"
"8950","Yellow-eyed penguin","Antipodean Albatross","Orange-fronted Parakeet","Gibson's Albatross","Banded Dotterel"
"8951","Fantail",NA,NA,NA,NA
"8952","Kākā","Kākāpō","Yellow-eyed penguin","Little Spotted Kiwi","Gibson's Albatross"
"8953","Gibson's Albatross","Kea","Mōhua","Bellbird","Saddleback"
"8954","Banded Dotterel","Australasian Crested Grebe","Southern Royal Albatross","Black Robin","Blue Duck"
"8955","Kākā","Kererū","Rockhopper Penguin","Kōkako","New Zealand Dotterel"
"8956","Bellbird","Black Robin","Harrier","Little Spotted Kiwi","New Zealand Falcon"
"8957","New Zealand Dabchick","Silvereye","Orange-fronted Parakeet","Black Robin","Rifleman"
"8958","Yellow-eyed penguin","Kākāpō","Little Spotted Kiwi","Fantail","Black Robin"
"8959","Black Robin","Kākāpō","Fantail","Fiordland Crested Penguin","Rockhopper Penguin"
"8960","Kākā","Bittern","Kākāpō","Kingfisher","Kea"
"8961","Black Stilt","Kōkako","Blue Duck","Chatham Island Oystercatcher","Great Spotted Kiwi"
"8962","Black Robin","Kākā","Kākāpō","Little Spotted Kiwi","Orange-fronted Parakeet"
"8963","Yellow-eyed penguin","Fantail","Orange-fronted Parakeet","Tūī","Morepork"
"8964","Kākāpō","Kōkako","Kea","Little Penguin","Blue Duck"
"8965","Kea","Morepork","Tomtit","Fairy Tern","Rifleman"
"8966","Kākāpō","Little Spotted Kiwi","Kākā","Orange-fronted Parakeet","Antipodean Albatross"
"8967","Bar-tailed Godwit","Little Penguin","Morepork","South Island Pied Oystercatcher","Wrybill"
"8968","Banded Dotterel","New Zealand Falcon","Kākāpō","New Zealand Dabchick","Blue Duck"
"8969","Kōkako","Harrier",NA,NA,NA
"8970","Yellow-eyed penguin","South Island Kōkako","Black Robin","Kākāpō","Banded Dotterel"
"8971","Kea","Orange-fronted Parakeet","Rockhopper Penguin","Blue Duck","Chatham Island Mollymawk"
"8972","Yellow-eyed penguin","Weka","Rockhopper Penguin","Harrier","Fiordland Crested Penguin"
"8973","Yellow-eyed penguin","Southern Royal Albatross","Morepork","Kea","Kererū"
"8974","White Heron","Rifleman","Kākāpō","Kea","Harrier"
"8975","Morepork","New Zealand Falcon","Antipodean Albatross","Campbell Black-Browed Albatross","Northern Royal Albatross"
"8976","Chatham Island Oystercatcher","Kingfisher","Rifleman","Shining Cuckoo","Welcome Swallow"
"8977","Banded Dotterel","South Island Kōkako","Antipodean Albatross","Blue Duck","New Zealand Dotterel"
"8978","Fantail","Fiordland Crested Penguin","Kingfisher","Kākāpō","Bellbird"
"8979","Yellow-eyed penguin","Fairy Tern","Wrybill","Shore Plover","White-faced Heron"
"8980","Kākā","Kākāpō","Little Spotted Kiwi","Black Robin","Banded Dotterel"
"8981","Black-fronted Tern","Yellow-eyed penguin","New Zealand Falcon","Kea","Tūī"
"8982","New Zealand Robin","Blue Duck","Kākā","Kākāpō","New Zealand Falcon"
"8983","Tomtit","Spotted Shag","Black-billed Gull","Kingfisher","Rock Wren"
"8984","Kea","Kākāpō","Morepork","Yellow-eyed penguin","New Zealand Falcon"
"8985","New Zealand Falcon","Black Petrel","Fantail","Harrier","Kākāpō"
"8986","Yellow-eyed penguin","New Zealand Dotterel","Bittern","Kākā","Southern Royal Albatross"
"8987","Black Robin","Stitchbird","Rifleman","Rockhopper Penguin","Fiordland Crested Penguin"
"8988","New Zealand Falcon","Banded Dotterel","Black Robin","Kōkako","Morepork"
"8989","Brown Teal","Weka","Kererū","Tūī","New Zealand Robin"
"8990","Kākāpō","Kererū","Takahē","Yellow-eyed penguin","Rockhopper Penguin"
"8991","Takahē","Kingfisher","Bellbird","Grey Warbler","Yellow-eyed penguin"
"8992","Banded Dotterel","Black Robin","Black-billed Gull","White Heron","Shining Cuckoo"
"8993","Blue Duck","Fantail","South Polar Skua","Black Petrel","Banded Dotterel"
"8994","Grey Warbler","Fernbird","Silvereye","Fairy Tern","Little Penguin"
"8995","Bar-tailed Godwit","Fairy Tern","Saddleback","Shining Cuckoo","Fernbird"
"8996","Banded Dotterel","Blue Duck","Fiordland Crested Penguin","Orange-fronted Parakeet","New Zealand Falcon"
"8997","Kākāpō","North Island Brown Kiwi","Great Spotted Kiwi","Antipodean Albatross","Fiordland Crested Penguin"
"8998","Yellow-eyed penguin","Kākāpō","Orange-fronted Parakeet","Southern Brown Kiwi","South Island Kōkako"
"8999","Antipodean Albatross","Gibson's Albatross","Yellow-eyed penguin","Kākāpō","Kākā"
"9000","Mōhua","South Island Kōkako","Southern Brown Kiwi","New Zealand Dotterel","Black Robin"
"9001","Yellow-eyed penguin",NA,NA,NA,NA
"9002","Yellow-eyed penguin","Blue Duck","Kōkako","Orange-fronted Parakeet","New Zealand Falcon"
"9003","Black Robin","Rockhopper Penguin","Rock Wren","White-faced Heron","Fiordland Crested Penguin"
"9004","Yellow-eyed penguin","Takahē","Kākāpō","Bellbird","Black Robin"
"9005","Morepork","Kākāpō","Kōkako","Kākā","Rockhopper Penguin"
"9006","Little Penguin","Little Spotted Kiwi","Morepork","Kākāpō","Kea"
"9007","Kākā","Bellbird","Antipodean Albatross","Rock Wren","Morepork"
"9008","New Zealand Dotterel","Banded Dotterel","New Zealand Falcon","North Island Brown Kiwi","Kingfisher"
"9009","Saddleback","Stitchbird","Kea","Kākā","New Zealand Falcon"
"9010","Yellow-eyed penguin","Takahē","Fantail","Banded Dotterel","New Zealand Robin"
"9011","Yellow-eyed penguin","Southern Royal Albatross","Little Penguin",NA,NA
"9012","Kākā","New Zealand Dotterel","Bellbird","Rock Wren","Morepork"
"9013","Blue Duck","Little Penguin","Kākā","New Zealand Dotterel","Pied Shag"
"9014","Kererū","Banded Dotterel","Kākāpō","Black Robin","Orange-fronted Parakeet"
