"","id","day","airline","destination","dest_region","dest_size","boarding_area","dept_time","wait_min","cleanliness","safety","satisfaction"
"1819",1742,"Saturday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",215,"Clean","Very safe","Very satisfied"
"1820",1940,"Saturday","AIR FRANCE/KLM","PARIS-DE GAULLE","Europe","Hub","Gates 1-12","2018-12-31",185,"Average","Somewhat safe","Somewhat satsified"
"1821",2114,"Monday","UNITED INTL","MEXICO CITY","Canada/Mexico","Hub","Gates 91-102","2018-12-31",NA,"Average","Somewhat safe","Somewhat satsified"
"1822",1125,"Tuesday","SOUTHWEST","SAN DIEGO","West US","Medium","Gates 20-39","2018-12-31",90,"Somewhat clean","Somewhat safe","Very satisfied"
"1823",1867,"Tuesday","UNITED","LOS ANGELES","West US","Hub","Gates 60-69","2018-12-31",150,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1824",1960,"Friday","CATHAY PACIFIC","HONG KONG","Asia","Hub","Gates 1-12","2018-12-31",165,"Somewhat clean","Neutral","Neutral"
"1825",2313,"Wednesday","QANTAS","SYDNEY","Australia/New Zealand","Hub","Gates 1-12","2018-12-31",165,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1826",756,"Sunday","ALASKA","NEW YORK-JFK","East US","Hub","Gates 50-59","2018-12-31",125,"Clean","Very safe","Somewhat satsified"
"1827",957,"Tuesday","ALASKA","NEW YORK-JFK","East US","Hub","Gates 50-59","2018-12-31",160,"Clean","Somewhat safe","Somewhat satsified"
"1828",2295,"Wednesday","QANTAS","SYDNEY","Australia/New Zealand","Hub","Gates 1-12","2018-12-31",195,"Clean","Very safe",NA
"1829",2930,"Friday","TURKISH AIRLINES","ISTANBUL","Middle East","Hub","Gates 91-102","2018-12-31",255,"Clean","Somewhat safe","Very satisfied"
"1830",2990,"Wednesday","AMERICAN","MIAMI","East US","Hub","Gates 50-59","2018-12-31",118,"Somewhat clean","Somewhat safe","Somewhat satsified"
"1831",1815,"Monday","UNITED INTL","LONDON HEATHROW","Europe","Hub","Gates 91-102","2018-12-31",155,"Somewhat clean","Very safe","Somewhat satsified"
"1832",2061,"Friday","UNITED","NEWARK","East US","Hub","Gates 70-90","2018-12-31",120,"Somewhat clean","Somewhat safe","Very satisfied"
"1833",1561,"Thursday","DELTA","NEW YORK-JFK","East US","Hub","Gates 40-48","2018-12-31",115,"Clean",NA,"Somewhat satsified"
