"branch","component","sex","weight_kg","waist_circum_m","stature_m"
"Combat Service Support","Army National Guard","Female",61.5,0.839,1.64
"Combat Support","Army National Guard","Female",52.9,0.697,1.616
"Combat Service Support","Army National Guard","Female",84.7,1.088,1.684
"Combat Support","Army National Guard","Female",59.6,0.805,1.649
"Combat Support","Army National Guard","Female",66.6,0.844,1.677
"Combat Support","Army National Guard","Female",67.6,0.915,1.653
"Combat Service Support","Army National Guard","Female",65.8,0.862,1.638
"Combat Service Support","Army National Guard","Female",59.6,0.835,1.646
"Combat Support","Army Reserve","Female",73.5,1,1.619
"Combat Support","Army Reserve","Female",55.6,0.789,1.53
"Combat Support","Army Reserve","Female",56.1,0.777,1.603
"Combat Support","Army Reserve","Female",56,0.796,1.68
"Combat Support","Army Reserve","Female",87.1,1.017,1.602
"Combat Service Support","Army National Guard","Female",73.6,1.074,1.447
"Combat Service Support","Army National Guard","Female",61.3,0.688,1.627
"Combat Service Support","Army National Guard","Female",50.5,0.713,1.594
"Combat Service Support","Army National Guard","Female",82.3,1.035,1.688
"Combat Service Support","Army National Guard","Female",56.1,0.827,1.547
"Combat Service Support","Army National Guard","Female",75.4,0.95,1.621
"Combat Support","Army National Guard","Female",59.3,0.805,1.625
"Combat Support","Army National Guard","Female",69.5,0.896,1.597
"Combat Support","Army National Guard","Female",82,0.905,1.602
"Combat Service Support","Army National Guard","Female",58.3,0.833,1.614
"Combat Support","Army National Guard","Female",92,1.055,1.743
"Combat Service Support","Army National Guard","Female",84.1,1.071,1.603
"Combat Service Support","Army National Guard","Female",84.2,1.111,1.576
"Combat Service Support","Regular Army","Female",66,0.871,1.619
"Combat Service Support","Regular Army","Female",89.6,0.969,1.754
"Combat Service Support","Regular Army","Female",84.2,0.942,1.709
"Combat Support","Regular Army","Female",84.5,0.964,1.789
"Combat Support","Regular Army","Female",59.6,0.887,1.587
"Combat Support","Regular Army","Female",68.8,0.838,1.687
"Combat Service Support","Regular Army","Female",69,0.826,1.665
"Combat Support","Regular Army","Female",74.8,0.95,1.573
"Combat Service Support","Regular Army","Female",69.9,0.819,1.654
"Combat Support","Regular Army","Female",69.1,0.92,1.582
"Combat Support","Regular Army","Female",56.6,0.744,1.575
"Combat Service Support","Regular Army","Female",69.9,0.88,1.6
"Combat Service Support","Regular Army","Female",46.8,0.74,1.584
"Combat Support","Regular Army","Female",70.1,0.829,1.535
"Combat Support","Regular Army","Female",83.2,1.029,1.593
"Combat Service Support","Regular Army","Female",78.9,0.973,1.583
"Combat Support","Regular Army","Female",59.2,0.845,1.608
"Combat Support","Regular Army","Female",58.3,0.828,1.663
"Combat Support","Regular Army","Female",74.6,1.02,1.609
"Combat Support","Regular Army","Female",42.8,0.675,1.513
"Combat Service Support","Regular Army","Female",85.3,1.007,1.704
"Combat Support","Regular Army","Female",66.4,0.858,1.708
"Combat Support","Regular Army","Female",57.7,0.804,1.506
"Combat Support","Regular Army","Female",56.5,0.811,1.583
"Combat Support","Regular Army","Female",71.4,0.864,1.731
"Combat Support","Regular Army","Female",76.2,0.871,1.669
"Combat Service Support","Regular Army","Female",55.6,0.824,1.64
"Combat Support","Regular Army","Female",56.1,0.724,1.613
"Combat Support","Regular Army","Female",64.1,0.849,1.64
"Combat Service Support","Regular Army","Female",76.6,0.918,1.581
"Combat Support","Regular Army","Female",70.2,0.829,1.664
"Combat Service Support","Regular Army","Female",56.1,0.799,1.562
"Combat Service Support","Regular Army","Female",81.2,1.017,1.722
"Combat Service Support","Regular Army","Female",72.5,0.9,1.564
"Combat Service Support","Regular Army","Female",68.6,0.917,1.589
"Combat Service Support","Regular Army","Female",92.4,0.97,1.789
"Combat Service Support","Regular Army","Female",66.2,0.884,1.608
"Combat Support","Regular Army","Female",56.2,0.796,1.595
"Combat Service Support","Regular Army","Female",56.4,0.785,1.59
"Combat Support","Regular Army","Female",65.3,0.87,1.575
"Combat Support","Regular Army","Female",67.9,0.905,1.539
"Combat Service Support","Regular Army","Female",77.7,0.958,1.654
"Combat Service Support","Regular Army","Female",63.2,0.855,1.616
"Combat Service Support","Regular Army","Female",69.7,0.869,1.646
"Combat Support","Regular Army","Female",68.1,0.875,1.548
"Combat Service Support","Regular Army","Female",57,0.722,1.617
"Combat Service Support","Regular Army","Female",74.2,1.034,1.527
"Combat Service Support","Regular Army","Female",58.9,0.757,1.653
"Combat Service Support","Regular Army","Female",75,0.995,1.606
"Combat Service Support","Regular Army","Female",74.4,0.812,1.7
"Combat Service Support","Regular Army","Female",81.5,0.954,1.672
"Combat Support","Regular Army","Female",76.5,0.928,1.728
"Combat Service Support","Regular Army","Female",82.7,1.049,1.677
"Combat Service Support","Regular Army","Female",79.3,0.958,1.79
"Combat Service Support","Regular Army","Female",73.5,0.912,1.643
"Combat Service Support","Regular Army","Female",62,0.822,1.584
"Combat Service Support","Regular Army","Female",65.9,0.935,1.583
"Combat Support","Regular Army","Female",70.5,0.957,1.64
"Combat Service Support","Regular Army","Female",49.3,0.707,1.562
"Combat Service Support","Regular Army","Female",64.3,0.771,1.65
"Combat Support","Regular Army","Female",65.4,0.806,1.656
"Combat Service Support","Regular Army","Female",65.5,1.002,1.624
"Combat Service Support","Regular Army","Female",85.6,1.044,1.631
"Combat Support","Regular Army","Female",63.2,0.815,1.715
"Combat Support","Regular Army","Female",64.8,0.752,1.607
"Combat Service Support","Regular Army","Female",60.4,0.831,1.6
"Combat Support","Regular Army","Female",70.2,0.88,1.571
"Combat Support","Regular Army","Female",65.9,0.817,1.603
"Combat Support","Regular Army","Female",77.1,0.938,1.599
"Combat Support","Regular Army","Female",52.4,0.797,1.602
"Combat Support","Regular Army","Female",68.5,0.773,1.642
"Combat Support","Regular Army","Female",101.7,1.103,1.715
"Combat Support","Regular Army","Female",48.7,0.679,1.634
"Combat Support","Regular Army","Female",82.4,1.055,1.657
"Combat Support","Regular Army","Female",72.4,0.856,1.626
"Combat Support","Army Reserve","Female",61.7,0.868,1.536
"Combat Service Support","Army Reserve","Female",69.6,0.818,1.698
"Combat Support","Army National Guard","Female",75.3,0.846,1.652
"Combat Support","Army National Guard","Female",78.5,1.032,1.611
"Combat Support","Army National Guard","Female",81.2,0.911,1.764
"Combat Service Support","Army National Guard","Female",48.5,0.65,1.586
"Combat Service Support","Army National Guard","Female",59.5,0.804,1.592
"Combat Support","Army National Guard","Female",74,0.88,1.782
"Combat Support","Army Reserve","Female",79.9,0.97,1.708
"Combat Service Support","Army National Guard","Female",64.5,0.841,1.65
"Combat Service Support","Army National Guard","Female",72.5,0.949,1.612
"Combat Service Support","Army National Guard","Female",60,0.766,1.66
"Combat Service Support","Army National Guard","Female",63,0.811,1.629
"Combat Service Support","Army National Guard","Female",76.2,0.978,1.63
"Combat Service Support","Army National Guard","Female",69.6,0.738,1.743
"Combat Service Support","Army National Guard","Female",81.8,1.001,1.688
